Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Matt Wallace (10765232),Matt Wallace,10765232,G,6900,U.S. Open,Golf,68.71
G,Chez Reavie (10765233),Chez Reavie,10765233,G,6900,U.S. Open,Golf,68.82
G,Andrew Johnston (10765234),Andrew Johnston,10765234,G,6900,U.S. Open,Golf,66.62
G,Steve Stricker (10765235),Steve Stricker,10765235,G,6900,U.S. Open,Golf,68.93
G,Lucas Glover (10765236),Lucas Glover,10765236,G,6900,U.S. Open,Golf,60.09
G,Jhonattan Vegas (10765237),Jhonattan Vegas,10765237,G,6900,U.S. Open,Golf,57.91
G,Byeong-Hun An (10788162),Byeong-Hun An,10788162,G,6900,U.S. Open,Golf,68.37
G,Scott Piercy (10788166),Scott Piercy,10788166,G,6900,U.S. Open,Golf,57.59
G,Russell Knox (10765238),Russell Knox,10765238,G,6800,U.S. Open,Golf,60.90
G,Trey Mullinax (10765239),Trey Mullinax,10765239,G,6800,U.S. Open,Golf,57.03
G,Graeme McDowell (10765240),Graeme McDowell,10765240,G,6800,U.S. Open,Golf,55.52
G,Shubhankar Sharma (10765241),Shubhankar Sharma,10765241,G,6800,U.S. Open,Golf,66.84
G,Brian Gay (10765242),Brian Gay,10765242,G,6800,U.S. Open,Golf,60.32
G,Dylan Frittelli (10765243),Dylan Frittelli,10765243,G,6800,U.S. Open,Golf,70.57
G,Brendan Steele (10765244),Brendan Steele,10765244,G,6800,U.S. Open,Golf,72.68
G,Gary Woodland (10765245),Gary Woodland,10765245,G,6800,U.S. Open,Golf,62.67
G,Alexander Levy (10765246),Alexander Levy,10765246,G,6800,U.S. Open,Golf,79.9
G,Aaron Baddeley (10765247),Aaron Baddeley,10765247,G,6700,U.S. Open,Golf,50.58
G,Sebastian Munoz (10765248),Sebastian Munoz,10765248,G,6700,U.S. Open,Golf,0
G,Thorbjorn Olesen (10765249),Thorbjorn Olesen,10765249,G,6700,U.S. Open,Golf,72.07
G,Roberto Castro (10765250),Roberto Castro,10765250,G,6700,U.S. Open,Golf,0
G,Braden Thornberry (10765251),Braden Thornberry,10765251,G,6700,U.S. Open,Golf,65.75
G,Patrick Rodgers (10765252),Patrick Rodgers,10765252,G,6700,U.S. Open,Golf,51.91
G,Charles Howell (10765253),Charles Howell,10765253,G,6700,U.S. Open,Golf,68.5
G,Theo Humphrey (10765254),Theo Humphrey,10765254,G,6700,U.S. Open,Golf,0
G,Brian Stuard (10765255),Brian Stuard,10765255,G,6700,U.S. Open,Golf,52.95
G,Harold Varner (10765256),Harold Varner,10765256,G,6600,U.S. Open,Golf,52.86
G,Doug Ghim (10765257),Doug Ghim,10765257,G,6600,U.S. Open,Golf,62
G,Matt Jones (10765258),Matt Jones,10765258,G,6600,U.S. Open,Golf,57
G,Tyler Duncan (10765259),Tyler Duncan,10765259,G,6600,U.S. Open,Golf,45.26
G,Kenny Perry (10765260),Kenny Perry,10765260,G,6600,U.S. Open,Golf,28
G,Richy Werenski (10765261),Richy Werenski,10765261,G,6600,U.S. Open,Golf,47.04
G,Scott Stallings (10765262),Scott Stallings,10765262,G,6600,U.S. Open,Golf,52.53
G,Noah Goodwin (10765263),Noah Goodwin,10765263,G,6600,U.S. Open,Golf,21
G,Ernie Els (10765264),Ernie Els,10765264,G,6600,U.S. Open,Golf,39.53
G,Stewart Hagestad (10765265),Stewart Hagestad,10765265,G,6500,U.S. Open,Golf,0
G,Michael Putnam (10765266),Michael Putnam,10765266,G,6500,U.S. Open,Golf,0
G,Ryan Fox (10765267),Ryan Fox,10765267,G,6500,U.S. Open,Golf,65.93
G,Shota Akiyoshi (10765268),Shota Akiyoshi,10765268,G,6500,U.S. Open,Golf,0
G,Richie Ramsay (10765269),Richie Ramsay,10765269,G,6500,U.S. Open,Golf,61.18
G,Dylan Meyer (10765270),Dylan Meyer,10765270,G,6500,U.S. Open,Golf,46
G,Jacob Bergeron (10765271),Jacob Bergeron,10765271,G,6500,U.S. Open,Golf,0
G,Mackenzie Hughes (10765272),Mackenzie Hughes,10765272,G,6500,U.S. Open,Golf,38.21
G,Ted Potter (10788167),Ted Potter,10788167,G,6500,U.S. Open,Golf,49.92
G,Harry Ellis (10765273),Harry Ellis,10765273,G,6400,U.S. Open,Golf,12.25
G,Garrett Rank (10765274),Garrett Rank,10765274,G,6400,U.S. Open,Golf,0
G,James Morrison (10765275),James Morrison,10765275,G,6400,U.S. Open,Golf,49.03
G,Matthew Southgate (10765276),Matthew Southgate,10765276,G,6400,U.S. Open,Golf,59.04
G,Scott Gregory (10765277),Scott Gregory,10765277,G,6400,U.S. Open,Golf,71.5
G,Michael Hebert (10765278),Michael Hebert,10765278,G,6400,U.S. Open,Golf,0
